dt_ts,NEE,ET,LE,H,SWin,SWout,LWin,LWout,TA1,TA2,RH1,RH2
2025-09-15 07:30:00,-15.899668426548923,1.9365463308500528,54.99029554755144,,263.6317,27.97833,329.03,418.2633,20.21,20.3147325,69.33,73.29583333333333
2025-09-15 08:00:00,-7.614008735529554,0.8328002846759243,23.633062894792456,23.831061112221995,355.755,37.715,330.0817,432.6667,21.11,22.12491083333333,66.98,65.00500000000001
2025-09-15 08:30:00,5.575166873822971,3.545431053366118,100.5102858416058,57.82300022151062,444.03,46.685,333.2517,447.6783,22.28,23.816963333333334,64.69,60.803333333333335
2025-09-15 09:00:00,6.479276479756159,3.297432580082784,93.39315987759944,71.40042630728392,528.065,55.09999,336.3417,459.3233,23.12,24.934614166666663,60.38,58.06916666666667
2025-09-15 09:30:00,4.466405367551772,3.1613423820590985,89.44256993301924,130.9687448686702,601.21,60.84999,339.3267,471.9433,24.49,26.748624166666666,55.39,51.07666666666668
2025-09-15 10:00:00,4.907990770311375,3.7854095377973493,107.02321365482231,134.5086979227785,667.0467,68.70499,343.4433,484.71,25.27,27.832918333333332,54.7,48.59583333333333
2025-09-15 10:30:00,5.834503664134654,4.677056650818326,132.12071503685826,167.03065155516188,716.1282,72.18333,343.68,493.3167,26.4,28.87575,48.49,45.375
2025-09-15 11:00:00,-2.458268838161638,5.74757477811079,162.24067536681324,177.7831169981911,751.4417,75.41,346.39,497.49,26.57,28.96426333333333,45.29,41.75000000000001
2025-09-15 11:30:00,2.9732167838883443,8.643668221799556,243.92298758161436,166.3371951598016,771.06,77.13166,349.6816,505.41,26.74,29.105576666666668,52.13,47.86583333333334
2025-09-15 12:00:00,5.840721882336279,6.200832784618935,174.93497254332996,195.15871887454543,774.5183,76.635,352.86,502.435,26.94,30.029795833333328,48.5,43.09166666666667
2025-09-15 12:30:00,4.014810996112014,3.660728406678679,103.22661469656272,187.0578708022969,762.9383,76.27333,354.94,510.9533,27.88,30.949657500000004,47.05,42.344166666666666
2025-09-15 13:00:00,3.772589895038325,4.751147352618784,133.94622164222957,190.52994735608223,736.175,73.86166,355.9383,510.6766,28.03,31.140696666666667,46.84,41.815
2025-09-15 13:30:00,2.7943961247710294,4.056765785858683,114.35539017373112,158.55783883903146,700.5,70.495,355.1933,502.97,27.94,30.76278416666666,46.08,40.37
2025-09-15 14:00:00,4.019572435247252,3.6187213155220457,101.99326224406845,158.7295748301921,645.9916,65.81834,352.9933,500.51,28.59,29.82378083333333,43.12,41.08583333333333
2025-09-15 14:30:00,3.0943932478315626,2.689811383562274,75.79821904136227,121.87123169955072,580.64,59.58833,354.2917,497.2566,29.04,30.219864166666667,41.63,41.79
2025-09-15 15:00:00,3.6109298556498857,3.0442180599516147,85.78373733961875,133.98849244290778,510.2567,52.805,353.8517,491.6416,29.24,30.4491825,41.12,41.56916666666667
2025-09-15 15:30:00,2.020624475364442,2.795654288904987,78.79797901742928,84.28763513146586,428.9666,44.90833,353.0516,482.7,29.02,30.418584166666665,42.24,41.30416666666667
2025-09-15 16:00:00,1.581823741439524,3.559443463521299,100.33057627609227,83.2594560832722,277.2633,28.99167,349.4383,470.0616,29.08,29.36961083333333,39.6,40.60166666666667
2025-09-15 16:30:00,-0.24065780203466564,3.341129842335125,94.20146213048132,21.285702832139798,169.3967,17.20167,348.7616,459.2233,28.9,29.05788083333334,43.67,45.385
2025-09-15 17:00:00,-2.6086923781521256,2.1968862855191422,61.97389026427473,3.1337958454077737,130.5733,13.45833,348.5533,448.2733,27.92,27.6375475,45.7,48.05916666666667
2025-09-15 17:30:00,-4.335142525493933,0.8323492521396668,23.496929891571867,-4.5868773081611085,46.02,4.061666,347.9333,436.1383,26.26,25.8143825,55.5,57.905
2025-09-15 18:00:00,-4.544552476104548,0.7571488552417139,21.394470234938893,-12.307550461729992,3.165,0.1483333,344.6383,423.1933,24.38,23.642613333333333,65.07,68.97666666666667
2025-09-15 18:30:00,-10.21159072304642,0.6819484583437609,19.29201057830592,-9.241028075649913,-3.79,-0.1566667,341.4233,415.1733,23.0,20.978115,65.48,76.81083333333335
2025-09-15 19:00:00,-15.878628969988293,0.28460729748828806,8.056781724540372,-39.18414261558752,-3.628333,-0.51,340.55,413.145,22.37,21.35691583333333,65.3,69.89833333333333
2025-09-15 19:30:00,-6.833702543487377,0.10516703772930734,2.978967840134147,-17.074553557957955,-3.193333,-0.43,340.0467,409.8283,21.86,20.165351666666663,67.36,76.38416666666666
2025-09-15 20:00:00,-3.0624872846819535,0.4552842604603036,12.917467656052473,-6.639685068060448,-3.713333,-0.175,336.72,404.7216,20.96,18.6694075,71.06,83.94166666666668
2025-09-15 20:30:00,-1.785011818754887,0.8054014831912998,22.855967471970796,-5.42540689352322,-2.928333,-0.2133333,334.5783,402.7517,20.52,17.61453416666666,73.23,89.01666666666667
2025-09-15 21:00:00,-0.5075363528278203,1.1555187059222962,32.79446728788912,-4.211128718985991,-3.043333,-0.275,330.6667,402.395,20.29,17.733662499999998,74.14,87.31666666666666
2025-09-15 21:30:00,-1.698141920687536,1.5056359286532923,42.73296710380745,-24.10140735793163,-3.358333,-0.4816667,326.9867,395.8217,18.9,16.160741666666663,80.4,93.68333333333334
2025-09-15 22:00:00,8.942541290335583,0.8826457721111769,25.042597565659893,5.865356460297331,-3.325,-0.04333333,324.5583,392.7017,17.74,15.605154999999998,85.7,94.31666666666663
2025-09-15 22:30:00,10.153494304746143,0.2596556155690616,7.352228027512339,2.6598130363728134,-2.33,0.09833333,324.7417,389.2333,16.49,15.125751666666666,91.3,95.2
2025-09-15 23:00:00,11.364447319156701,-0.36333454097305407,-10.338141510635218,2.2883918518443997,-1.695,0.1833333,341.5983,386.8966,15.83,14.593876666666668,93.2,95.75833333333333
2025-09-15 23:30:00,12.575400333567261,-0.27648978083513565,-7.868880839736891,3.542491011909427,-1.868333,0.135,351.8866,385.1483,15.55,14.281339999999998,94.1,96.05
2025-09-16 00:00:00,-11.949593325710934,-0.18964502069721728,-5.399620168838563,-4.907782275906718,-2.26,0.05833333,356.3483,384.0533,15.13,13.949433333333335,94.7,96.71666666666664
2025-09-16 00:30:00,-20.179553970795546,-0.21397360260877585,-6.093172855906263,-5.5981366152882925,-1.626667,0.38,360.0166,383.4066,14.98,13.637547500000002,94.5,96.56666666666666
2025-09-16 01:00:00,-21.695106817303994,-0.1453702027683699,-4.138648459439017,-9.491406355610627,-1.92,-0.04166666,363.4016,383.6566,15.3,13.530258333333334,94.6,96.925
2025-09-16 01:30:00,-10.203180242804764,-0.11350759285118638,-3.231741065818941,-5.696269077957438,-1.223333,0.4,363.115,381.9933,14.93,13.306143333333331,94.0,96.98333333333332
2025-09-16 02:00:00,1.2887463316944627,-0.08164498293400287,-2.3248336721988645,-1.9011318003042488,-1.578333,-0.08166667,363.915,381.375,14.56,13.195815,94.5,97.0
2025-09-16 02:30:00,12.780672906193697,-0.04978237301681934,-1.417926278578788,2.2727038200783025,-1.105,0.3716666,365.2716,381.36,14.47,13.352824166666666,95.1,97.19166666666668
2025-09-16 03:00:00,-1.5286252221888128,-0.01791976309963582,-0.5110188849587115,-0.7422132417244695,-2.221667,0.08,364.8933,380.385,14.32,13.183915,95.1,97.49166666666667
2025-09-16 03:30:00,2.0892259528228236,-0.0571237063887701,-1.6290189397817247,1.1068312896975498,-1.848333,0.006666666,366.44,379.92,14.32,13.252296666666666,95.0,97.34166666666664
2025-09-16 04:00:00,-2.2232158937955124,-0.03524995220166251,-1.0055198046521612,-0.948485299404377,-1.476667,0.09833333,366.9083,379.135,14.04,12.779355000000002,95.1,97.15
2025-09-16 04:30:00,-1.6354060793161493,-0.014662115657534036,-0.4182297723651449,-0.5647951252516945,-1.298333,0.19,367.1583,378.8683,13.83,12.850396666666668,95.8,97.34999999999998
2025-09-16 05:00:00,-1.047596264836786,0.005925720886594432,0.1690602599218714,-0.7804624933474736,-1.875,0.1966667,368.2983,378.7517,13.85,12.753919166666668,95.6,97.30833333333332
2025-09-16 05:30:00,9.331190038012316,-0.08329883012397558,-2.377282047354563,2.1340418468170608,0.6616667,0.3916667,368.3283,377.8517,13.71,12.609384999999998,95.8,97.25833333333333
2025-09-16 06:00:00,-5.564183362018607,0.034303436209842754,0.9790293179019433,-2.079778910574408,21.855,1.61,369.375,379.0733,13.61,12.87005,95.7,97.50833333333333
2025-09-16 06:30:00,-6.154900849019501,-0.0802810298413298,-2.2904277569731475,-1.884500595131768,112.0133,11.14,374.6217,387.3483,14.28,13.794696666666669,96.2,97.60833333333332
2025-09-16 07:00:00,-8.876639162667887,2.716188072842904,77.23642903612777,16.96999863763465,183.7983,18.20833,381.9366,402.37,16.05,15.924101666666663,94.4,97.84999999999998
2025-09-16 07:30:00,-11.598377476316273,5.512657175527138,156.7632858292287,14.498541585159138,252.2333,27.01167,329.73,416.0083,19.09,18.439071666666667,82.3,93.26666666666664
2025-09-16 08:00:00,-14.32011578996466,1.344432333957183,38.182834723438674,21.733886571691816,345.7583,36.43,331.2933,430.4633,20.95,21.727224166666662,75.53,72.71500000000002
2025-09-16 08:30:00,-0.00792499263995436,1.8923219222834737,53.68554478718692,50.14566078735076,436.3283,46.61333,334.8183,445.3916,22.03,22.87598,68.01,67.31333333333332
2025-09-16 09:00:00,-4.787593969896275,1.8397307303907584,52.13778520930535,126.2131196601044,518.3933,53.44,337.5233,460.3916,23.06,24.606121666666667,65.07,62.080000000000005
2025-09-16 09:30:00,10.75721810932407,2.8666012901463556,81.13622513349034,164.42000464781208,590.9166,62.15333,342.4117,476.5583,24.61,26.21761833333333,58.46,55.82166666666666
2025-09-16 10:00:00,2.5866810273469474,3.363189753900213,95.06777205673137,186.99565555988428,657.0783,68.91666,345.1617,489.815,26.13,27.976755,50.61,48.32416666666666
2025-09-16 10:30:00,9.093618107450839,5.59031072370162,157.85380793959794,263.13085716326566,701.3616,72.895,348.5417,499.8383,27.27,29.07281333333333,48.45,45.767500000000005
2025-09-16 11:00:00,-2.427820795992674,2.5540253265025985,72.09649442554507,220.31446276870625,740.3299,76.58334,352.4666,505.3567,26.85,29.6233425,52.33,46.1125
2025-09-16 11:30:00,8.673022513938156,3.9300609428314592,110.88614144402578,243.5645691704608,760.4466,77.48666,351.6766,509.0283,27.36,30.01495083333334,46.49,41.55
2025-09-16 12:00:00,5.356131665931537,2.7209783891643404,76.75347575679007,181.991807571692,763.5233,76.92333,355.1667,517.585,27.97,29.96375749999999,44.63,41.68916666666666
