dt_ts,NEE,ET,LE,H,SWin,SWout,LWin,LWout,TA1,RH1
2025-06-15 05:30:00,-4.432764074740313,0.2670946925371273,7.606803765131079,2.0344143597663367,43.26666,9.599999,339.0633,394.0367,15.23,83.7
2025-06-15 06:00:00,-5.182881852990339,0.6465048196707712,18.41087654294123,-2.0262090141271187,62.08,14.25333,386.35,400.8966,15.81,82.7
2025-06-15 06:30:00,1.97146190717339,1.479306103671991,42.09948091489501,9.846256626264948,277.96,68.67,379.3434,411.56,16.63,78.48
2025-06-15 07:00:00,3.498043876383932,1.400527902183197,39.84386519311221,25.091115537710632,228.6667,56.28666,344.99,410.1866,16.96,77.99
2025-06-15 07:30:00,2.651077202842651,2.235881289842889,63.57582247930628,34.92214759789445,484.8833,124.7833,356.2433,427.4366,18.14,75.23
2025-06-15 08:00:00,11.810967581439376,3.277958098478172,93.14619113162125,65.96666454525273,379.4833,89.35,380.7233,424.8667,18.5,75.01
2025-06-15 08:30:00,5.338537572796414,1.849979163254634,52.53940898046808,31.036742610308757,289.9967,68.69333,390.18,427.26,19.19,73.67
2025-06-15 09:00:00,8.492835708524652,2.7394493001967084,77.71793946532685,36.76363866533684,234.5,56.55,393.45,428.9366,20.23,72.78
2025-06-15 09:30:00,5.4399603446611255,1.6338032247402539,46.322485874569445,21.5906520161621,269.9867,64.57999,396.9033,434.38,21.18,71.26
2025-06-15 10:00:00,8.359378440461425,2.805407833433466,79.48934995404126,29.666957289175038,243.15,57.88,403.0333,436.4167,22.14,68.42
2025-06-15 10:30:00,4.055647873639828,2.226614959125214,63.056296232112416,46.40781773245713,333.67,77.39,405.32,441.9,22.09,69.58
2025-06-15 11:00:00,4.915708962175565,2.7416636217815507,77.59973504909273,98.33948356732722,383.4366,87.35999,406.2433,447.93,22.83,68.75
2025-06-15 11:30:00,2.3079906916994792,1.8464738483319292,52.2515362131328,79.07067047093514,379.16,85.56666,405.8667,448.0466,22.68,68.98
2025-06-15 12:00:00,4.259644842596639,3.350656612542351,94.76110739580238,145.34075312452663,953.2534,209.0,407.2333,473.2033,24.15,64.09
2025-06-15 12:30:00,12.87733394659078,6.654891822207973,188.09855831620456,179.3257557195332,789.2566,170.6533,395.2867,466.28,24.69,64.36
2025-06-15 13:00:00,14.507121877224776,7.414802781771501,209.4553841337306,150.5197038155007,706.34,152.92,395.2933,470.3,25.27,62.45
2025-06-15 13:30:00,12.84483823453874,5.394166201723286,152.36298233013468,73.2953192103584,568.89,127.45,398.9333,461.8533,24.53,64.9
2025-06-15 14:00:00,13.155812128534283,4.393833496326327,124.08557619598209,63.39140917001034,401.7467,91.05334,400.7133,460.3533,25.27,63.15
2025-06-15 14:30:00,3.578952851458218,2.2736195981206118,64.21239711187008,91.1918484514983,334.45,74.55,400.9066,456.7567,24.55,65.93
2025-06-15 15:00:00,0.6406645839258649,1.708042472867659,48.24327014250122,74.68991102318903,330.73,75.12333,401.3933,457.24,24.84,64.75
2025-06-15 15:30:00,1.489496998162545,1.801767269527531,50.87558485292415,68.95760024935383,293.6867,66.06667,400.0133,456.3966,25.06,64.66
2025-06-15 16:00:00,1.4147122897061006,2.4485562135872327,69.13102459311928,52.85412821404454,189.3867,43.71666,403.87,451.44,24.93,65.33
